accession,dataset,row_id:ID(Protein),:LABEL
A0A087WPP3,UP000005640_9606,193,Protein
A0A087WPV9,UP000005640_9606,194,Protein
A0A087WPW0,UP000005640_9606,195,Protein
A0A087WPY7,UP000005640_9606,196,Protein
A0A087WQ19,UP000005640_9606,197,Protein
A0A087WQ24,UP000005640_9606,198,Protein
A0A087WQ44,UP000005640_9606,199,Protein
A0A087WQ87,UP000005640_9606,200,Protein
A0A087WQ89,UP000005640_9606,201,Protein
A0A087WQA2,UP000005640_9606,202,Protein
A0A087WQA3,UP000005640_9606,203,Protein
A0A087WQA9,UP000005640_9606,204,Protein
A0A087WQC7,UP000005640_9606,205,Protein
A0A087WQI7,UP000005640_9606,206,Protein
A0A087WQJ0,UP000005640_9606,207,Protein
A0A087WQL3,UP000005640_9606,208,Protein
A0A087WQL6,UP000005640_9606,209,Protein
A0A087WQP5,UP000005640_9606,210,Protein
A0A087WQP8,UP000005640_9606,211,Protein
A0A087WQT1,UP000005640_9606,212,Protein
A0A087WR13,UP000005640_9606,213,Protein
A0A087WR14,UP000005640_9606,214,Protein
A0A087WR18,UP000005640_9606,215,Protein
A0A087WR34,UP000005640_9606,216,Protein
A0A087WR36,UP000005640_9606,217,Protein
A0A087WR44,UP000005640_9606,218,Protein
A0A087WR45,UP000005640_9606,219,Protein
A0A087WR49,UP000005640_9606,220,Protein
A0A087WR82,UP000005640_9606,221,Protein
A0A087WR99,UP000005640_9606,222,Protein
A0A087WRF5,UP000005640_9606,223,Protein
A0A087WRH0,UP000005640_9606,224,Protein
A0A087WRH8,UP000005640_9606,225,Protein
A0A087WRI3,UP000005640_9606,226,Protein
A0A087WRJ1,UP000005640_9606,227,Protein
A0A087WRK1,UP000005640_9606,228,Protein
A0A087WRK3,UP000005640_9606,229,Protein
A0A087WRL2,UP000005640_9606,230,Protein
A0A087WRP6,UP000005640_9606,231,Protein
A0A087WRR7,UP000005640_9606,232,Protein
A0A087WRT4,UP000005640_9606,233,Protein
A0A087WRT7,UP000005640_9606,234,Protein
A0A087WRT9,UP000005640_9606,235,Protein
A0A087WRU1,UP000005640_9606,236,Protein
A0A087WRV1,UP000005640_9606,237,Protein
A0A087WRX0,UP000005640_9606,238,Protein
A0A087WS05,UP000005640_9606,239,Protein
A0A087WS15,UP000005640_9606,240,Protein
A0A087WS16,UP000005640_9606,241,Protein
A0A087WS64,UP000005640_9606,242,Protein
A0A087WS79,UP000005640_9606,243,Protein
A0A087WS97,UP000005640_9606,244,Protein
A0A087WSA6,UP000005640_9606,245,Protein
A0A087WSB9,UP000005640_9606,246,Protein
A0A087WSD2,UP000005640_9606,247,Protein
A0A087WSF2,UP000005640_9606,248,Protein
A0A087WSG3,UP000005640_9606,249,Protein
A0A087WSM5,UP000005640_9606,250,Protein
A0A087WSN2,UP000005640_9606,251,Protein
A0A087WSP8,UP000005640_9606,252,Protein
A0A087WSS0,UP000005640_9606,253,Protein
A0A087WSS9,UP000005640_9606,254,Protein
A0A088MLT8,UP000005640_9606,255,Protein
A0A0A0MQA4,UP000005640_9606,256,Protein
A0A0A0MQP3,UP000005640_9606,257,Protein
A0A0A6YVP1,UP000005640_9606,258,Protein
A0A0A6YVQ4,UP000005640_9606,259,Protein
A0A0A6YVS4,UP000005640_9606,260,Protein
A0A0A6YVU8,UP000005640_9606,261,Protein
A0A0A6YVV1,UP000005640_9606,262,Protein
A0A0A6YVW3,UP000005640_9606,263,Protein
A0A0A6YVW6,UP000005640_9606,264,Protein
A0A0A6YVX8,UP000005640_9606,265,Protein
A0A0A6YVY0,UP000005640_9606,266,Protein
A0A0A6YW14,UP000005640_9606,267,Protein
A0A0A6YW27,UP000005640_9606,268,Protein
A0A0A6YW32,UP000005640_9606,269,Protein
A0A0A6YW33,UP000005640_9606,270,Protein
A0A0A6YW37,UP000005640_9606,271,Protein
A0A0A6YW58,UP000005640_9606,272,Protein
A0A0A6YW67,UP000005640_9606,273,Protein
A0A0A6YW72,UP000005640_9606,274,Protein
A0A0A6YWC7,UP000005640_9606,275,Protein
A0A0A6YWG4,UP000005640_9606,276,Protein
A0A0A6YWI4,UP000005640_9606,277,Protein
A0A0A6YWI9,UP000005640_9606,278,Protein
A0A0A6YWJ8,UP000005640_9606,279,Protein
A0A0A6YWQ1,UP000005640_9606,280,Protein
A0A0A6YWS7,UP000005640_9606,281,Protein
A0A0A6YWT0,UP000005640_9606,282,Protein
A0A0A6YWU1,UP000005640_9606,283,Protein
A0A0A6YWU3,UP000005640_9606,284,Protein
A0A0A6YWV4,UP000005640_9606,285,Protein
A0A0A6YWW0,UP000005640_9606,286,Protein
A0A0A6YWW9,UP000005640_9606,287,Protein
A0A0A6YWX0,UP000005640_9606,288,Protein
A0A0A6YX04,UP000005640_9606,289,Protein
A0A0A6YX06,UP000005640_9606,290,Protein
A0A0A6YX08,UP000005640_9606,291,Protein
A0A0A6YX16,UP000005640_9606,292,Protein
A0A0A6YX29,UP000005640_9606,293,Protein
A0A0A6YX66,UP000005640_9606,294,Protein
A0A0A6YX72,UP000005640_9606,295,Protein
A0A0A6YX91,UP000005640_9606,296,Protein
A0A0A6YXA0,UP000005640_9606,297,Protein
A0A0A6YXA5,UP000005640_9606,298,Protein
A0A0A6YXC3,UP000005640_9606,299,Protein
A0A0A6YXC7,UP000005640_9606,300,Protein
A0A0A6YXE0,UP000005640_9606,301,Protein
A0A0A6YXF1,UP000005640_9606,302,Protein
A0A0A6YXH6,UP000005640_9606,303,Protein
A0A0A6YXL5,UP000005640_9606,304,Protein
A0A0A6YXN4,UP000005640_9606,305,Protein
A0A0A6YXN8,UP000005640_9606,306,Protein
A0A0A6YXQ0,UP000005640_9606,307,Protein
A0A0A6YXT2,UP000005640_9606,308,Protein
A0A0A6YXW2,UP000005640_9606,309,Protein
A0A0A6YXW6,UP000005640_9606,310,Protein
A0A0A6YXX7,UP000005640_9606,311,Protein
A0A0A6YXX9,UP000005640_9606,312,Protein
A0A0A6YXY4,UP000005640_9606,313,Protein
A0A0A6YY25,UP000005640_9606,314,Protein
A0A0A6YY60,UP000005640_9606,315,Protein
A0A0A6YYE2,UP000005640_9606,316,Protein
A0A0A6YYE3,UP000005640_9606,317,Protein
A0A0A6YYE5,UP000005640_9606,318,Protein
A0A0A6YYE7,UP000005640_9606,319,Protein
A0A0A6YYE8,UP000005640_9606,320,Protein
A0A0A6YYP6,UP000005640_9606,321,Protein
A0A0B4J1F3,UP000005640_9606,322,Protein
A0A0B4J1F4,UP000005640_9606,323,Protein
A0A0B4J1F6,UP000005640_9606,324,Protein
A0A0B4J1F8,UP000005640_9606,325,Protein
A0A0B4J1F9,UP000005640_9606,326,Protein
A0A0B4J1G0,UP000005640_9606,327,Protein
A0A0B4J1G4,UP000005640_9606,328,Protein
A0A0B4J1G7,UP000005640_9606,329,Protein
A0A0B4J1G8,UP000005640_9606,330,Protein
A0A0B4J1G9,UP000005640_9606,331,Protein
A0A0B4J1H0,UP000005640_9606,332,Protein
A0A0B4J1H1,UP000005640_9606,333,Protein
A0A0B4J1H2,UP000005640_9606,334,Protein
A0A0B4J1H3,UP000005640_9606,335,Protein
A0A0B4J1H4,UP000005640_9606,336,Protein
A0A0B4J1H5,UP000005640_9606,337,Protein
A0A0B4J1H6,UP000005640_9606,338,Protein
A0A0B4J1H7,UP000005640_9606,339,Protein
A0A0B4J1H8,UP000005640_9606,340,Protein
A0A0B4J1H9,UP000005640_9606,341,Protein
A0A0B4J1I0,UP000005640_9606,342,Protein
A0A0B4J1I1,UP000005640_9606,343,Protein
A0A0B4J1I2,UP000005640_9606,344,Protein
A0A0B4J1I3,UP000005640_9606,345,Protein
A0A0B4J1I4,UP000005640_9606,346,Protein
A0A0B4J1I5,UP000005640_9606,347,Protein
A0A0B4J1I6,UP000005640_9606,348,Protein
A0A0B4J1I7,UP000005640_9606,349,Protein
A0A0B4J1I8,UP000005640_9606,350,Protein
A0A0B4J1J0,UP000005640_9606,351,Protein
A0A0B4J1J1,UP000005640_9606,352,Protein
A0A0B4J1J2,UP000005640_9606,353,Protein
A0A0B4J1J3,UP000005640_9606,354,Protein
A0A0B4J1J4,UP000005640_9606,355,Protein
A0A0B4J1J5,UP000005640_9606,356,Protein
A0A0B4J1J6,UP000005640_9606,357,Protein
A0A0B4J1J7,UP000005640_9606,358,Protein
A0A0B4J1J8,UP000005640_9606,359,Protein
A0A0B4J1J9,UP000005640_9606,360,Protein
A0A0B4J1K1,UP000005640_9606,361,Protein
A0A0B4J1K2,UP000005640_9606,362,Protein
A0A0B4J1K3,UP000005640_9606,363,Protein
A0A0B4J1K4,UP000005640_9606,364,Protein
A0A0B4J1K5,UP000005640_9606,365,Protein
A0A0B4J1L0,UP000005640_9606,366,Protein
A0A0B4J1M0,UP000005640_9606,367,Protein
A0A0B4J1M2,UP000005640_9606,368,Protein
A0A0B4J1N0,UP000005640_9606,369,Protein
A0A0B4J1N1,UP000005640_9606,370,Protein
A0A0B4J1N3,UP000005640_9606,371,Protein
A0A0B4J1N7,UP000005640_9606,372,Protein
A0A0B4J1P1,UP000005640_9606,373,Protein
A0A0B4J1P2,UP000005640_9606,374,Protein
A0A0B4J1P5,UP000005640_9606,375,Protein
A0A0B4J1P6,UP000005640_9606,376,Protein
A0A0B4J1P8,UP000005640_9606,377,Protein
A0A0B4J1P9,UP000005640_9606,378,Protein
A0A0G2JDD5,UP000005640_9606,379,Protein
A0A0G2JDD8,UP000005640_9606,380,Protein
A0A0G2JDE1,UP000005640_9606,381,Protein
A0A0G2JDE4,UP000005640_9606,382,Protein
A0A0G2JDE5,UP000005640_9606,383,Protein
A0A0G2JDE9,UP000005640_9606,384,Protein
A0A0G2JDF0,UP000005640_9606,385,Protein
A0A0G2JDG2,UP000005640_9606,386,Protein
A0A0G2JDG3,UP000005640_9606,387,Protein
A0A0G2JDG5,UP000005640_9606,388,Protein
A0A0G2JDG9,UP000005640_9606,389,Protein
A0A0G2JDH7,UP000005640_9606,390,Protein
A0A0G2JDI1,UP000005640_9606,391,Protein
A0A0G2JDP5,UP000005640_9606,392,Protein
A0A0G2JDS2,UP000005640_9606,393,Protein
A0A0G2JDS9,UP000005640_9606,394,Protein
A0A0G2JDU0,UP000005640_9606,395,Protein
A0A0G2JDU3,UP000005640_9606,396,Protein
A0A0G2JDV3,UP000005640_9606,397,Protein
A0A0G2JDW9,UP000005640_9606,398,Protein
A0A0G2JDX5,UP000005640_9606,399,Protein
A0A0G2JDX6,UP000005640_9606,400,Protein
A0A0G2JDY8,UP000005640_9606,401,Protein
A0A0G2JDZ0,UP000005640_9606,402,Protein
A0A0G2JDZ1,UP000005640_9606,403,Protein
A0A0G2JE01,UP000005640_9606,404,Protein
A0A0G2JE21,UP000005640_9606,405,Protein
A0A0G2JE22,UP000005640_9606,406,Protein
A0A0G2JE61,UP000005640_9606,407,Protein
A0A0G2JE67,UP000005640_9606,408,Protein
A0A0G2JE76,UP000005640_9606,409,Protein
A0A0G2JE99,UP000005640_9606,410,Protein
A0A0G2JEB4,UP000005640_9606,411,Protein
A0A0G2JEB6,UP000005640_9606,412,Protein
A0A0G2JEB7,UP000005640_9606,413,Protein
A0A0G2JEC1,UP000005640_9606,414,Protein
A0A0G2JEE1,UP000005640_9606,415,Protein
A0A0G2JEE5,UP000005640_9606,416,Protein
A0A0G2JEG4,UP000005640_9606,417,Protein
A0A0G2JEH0,UP000005640_9606,418,Protein
A0A0G2JEI4,UP000005640_9606,419,Protein
A0A0G2JEI6,UP000005640_9606,420,Protein
A0A0G2JEI7,UP000005640_9606,421,Protein
A0A0G2JEK3,UP000005640_9606,422,Protein
A0A0G2JEK5,UP000005640_9606,423,Protein
A0A0G2JEL0,UP000005640_9606,424,Protein
A0A0G2JEM5,UP000005640_9606,425,Protein
A0A0G2JER2,UP000005640_9606,426,Protein
A0A0G2JES9,UP000005640_9606,427,Protein
A0A0G2JET4,UP000005640_9606,428,Protein
A0A0G2JEU3,UP000005640_9606,429,Protein
A0A0G2JEU8,UP000005640_9606,430,Protein
A0A0G2JEV5,UP000005640_9606,431,Protein
A0A0G2JEV8,UP000005640_9606,432,Protein
A0A0G2JEW2,UP000005640_9606,433,Protein
A0A0G2JEW3,UP000005640_9606,434,Protein
A0A0G2JEY2,UP000005640_9606,435,Protein
A0A0G2JEZ6,UP000005640_9606,436,Protein
A0A0G2JF02,UP000005640_9606,437,Protein
A0A0G2JF06,UP000005640_9606,438,Protein
A0A0G2JF09,UP000005640_9606,439,Protein
A0A0G2JF27,UP000005640_9606,440,Protein
A0A0G2JF45,UP000005640_9606,441,Protein
A0A0G2JF50,UP000005640_9606,442,Protein
A0A0G2JF87,UP000005640_9606,443,Protein
A0A0G2JF94,UP000005640_9606,444,Protein
A0A0G2JFA3,UP000005640_9606,445,Protein
A0A0G2JFC2,UP000005640_9606,446,Protein
A0A0G2JFC4,UP000005640_9606,447,Protein
A0A0G2JFD5,UP000005640_9606,448,Protein
A0A0G2JFD7,UP000005640_9606,449,Protein
A0A0G2JFF0,UP000005640_9606,450,Protein
A0A0G2JFF4,UP000005640_9606,451,Protein
A0A0G2JFH3,UP000005640_9606,452,Protein
A0A0G2JFK9,UP000005640_9606,453,Protein
A0A0G2JFL6,UP000005640_9606,454,Protein
A0A0G2JFM0,UP000005640_9606,455,Protein
A0A0G2JFN0,UP000005640_9606,456,Protein
A0A0G2JFP6,UP000005640_9606,457,Protein
A0A0G2JFS3,UP000005640_9606,458,Protein
A0A0G2JFS5,UP000005640_9606,459,Protein
A0A0G2JFS6,UP000005640_9606,460,Protein
A0A0G2JFS9,UP000005640_9606,461,Protein
A0A0G2JFT5,UP000005640_9606,462,Protein
A0A0G2JFU1,UP000005640_9606,463,Protein
A0A0G2JFV0,UP000005640_9606,464,Protein
A0A0G2JFW2,UP000005640_9606,465,Protein
A0A0G2JFW3,UP000005640_9606,466,Protein
A0A0G2JFX6,UP000005640_9606,467,Protein
A0A0G2JFY7,UP000005640_9606,468,Protein
A0A0G2JFZ3,UP000005640_9606,469,Protein
A0A0G2JG12,UP000005640_9606,470,Protein
A0A0G2JG17,UP000005640_9606,471,Protein
A0A0G2JG36,UP000005640_9606,472,Protein
A0A0G2JG46,UP000005640_9606,473,Protein
A0A0G2JG52,UP000005640_9606,474,Protein
A0A0G2JG53,UP000005640_9606,475,Protein
A0A0G2JG57,UP000005640_9606,476,Protein
A0A0G2JG86,UP000005640_9606,477,Protein
A0A0G2JG88,UP000005640_9606,478,Protein
A0A0G2JGA3,UP000005640_9606,479,Protein
A0A0G2JGB2,UP000005640_9606,480,Protein
A0A0G2JGE7,UP000005640_9606,481,Protein
A0A0G2JGF9,UP000005640_9606,482,Protein
A0A0G2JGH6,UP000005640_9606,483,Protein
A0A0G2JGI7,UP000005640_9606,484,Protein
A0A0G2JGJ6,UP000005640_9606,485,Protein
A0A0G2JGJ9,UP000005640_9606,486,Protein
A0A0G2JGK2,UP000005640_9606,487,Protein
A0A0G2JGK9,UP000005640_9606,488,Protein
A0A0G2JGM3,UP000005640_9606,489,Protein
A0A0G2JGM9,UP000005640_9606,490,Protein
A0A0G2JGQ7,UP000005640_9606,491,Protein
A0A0G2JGR3,UP000005640_9606,492,Protein
A0A0G2JGR8,UP000005640_9606,493,Protein
A0A0G2JGT0,UP000005640_9606,494,Protein
A0A0G2JGU6,UP000005640_9606,495,Protein
A0A0G2JGW7,UP000005640_9606,496,Protein
A0A0G2JGW8,UP000005640_9606,497,Protein
A0A0G2JGX9,UP000005640_9606,498,Protein
A0A0G2JH10,UP000005640_9606,499,Protein
A0A0G2JH15,UP000005640_9606,500,Protein
A0A0G2LB96,UP000005640_9606,501,Protein
A0A0J9YTR2,UP000005640_9606,502,Protein
A0A0J9YTU8,UP000005640_9606,503,Protein
A0A0J9YU00,UP000005640_9606,504,Protein
A0A0J9YU01,UP000005640_9606,505,Protein
A0A0J9YU71,UP000005640_9606,506,Protein
A0A0J9YU88,UP000005640_9606,507,Protein
A0A0J9YUD4,UP000005640_9606,508,Protein
A0A0J9YUH2,UP000005640_9606,509,Protein
A0A0J9YUM1,UP000005640_9606,510,Protein
A0A0J9YUV1,UP000005640_9606,511,Protein
A0A0J9YUW3,UP000005640_9606,512,Protein
A0A0J9YUX7,UP000005640_9606,513,Protein
A0A0J9YUZ3,UP000005640_9606,514,Protein
A0A0J9YV76,UP000005640_9606,515,Protein
A0A0J9YVD0,UP000005640_9606,516,Protein
A0A0J9YVH3,UP000005640_9606,517,Protein
A0A0J9YVH6,UP000005640_9606,518,Protein
A0A0M3U1B0,UP000005640_9606,519,Protein
A0A0M6L0J6,UP000005640_9606,520,Protein
A0A0N4SUH6,UP000005640_9606,521,Protein
A0A0N4SUI7,UP000005640_9606,522,Protein
A0A0N4SUJ3,UP000005640_9606,523,Protein
A0A0N4SUK1,UP000005640_9606,524,Protein
A0A0N4SUK7,UP000005640_9606,525,Protein
A0A0N4SUP0,UP000005640_9606,526,Protein
A0A0N4SUS7,UP000005640_9606,527,Protein
A0A0N4SV92,UP000005640_9606,528,Protein
A0A0N4SVC3,UP000005640_9606,529,Protein
A0A0N4SVF2,UP000005640_9606,530,Protein
A0A0N4SVP2,UP000005640_9606,531,Protein
A0A0N4SVP8,UP000005640_9606,532,Protein
A0A0N4SVQ0,UP000005640_9606,533,Protein
A0A0N4SVU1,UP000005640_9606,534,Protein
A0A0N4SW15,UP000005640_9606,535,Protein
A0A0N4SW31,UP000005640_9606,536,Protein
A0A0R4J1Z0,UP000005640_9606,537,Protein
A0A0R4J2B9,UP000005640_9606,538,Protein
A0A0R4J8U2,UP000005640_9606,539,Protein
A0A0U1RNJ4,UP000005640_9606,540,Protein
A0A0U1RNT7,UP000005640_9606,541,Protein
A0A0U1RNU5,UP000005640_9606,542,Protein
A0A0U1RNX7,UP000005640_9606,543,Protein
A0A0U1RPC5,UP000005640_9606,544,Protein
A0A0U1RPG8,UP000005640_9606,545,Protein
A0A0U1RPM1,UP000005640_9606,546,Protein
A0A0U1RPR8,UP000005640_9606,547,Protein
A0A0U1RPT6,UP000005640_9606,548,Protein
A0A0U1RPZ4,UP000005640_9606,549,Protein
A0A0U1RQ01,UP000005640_9606,550,Protein
A0A0U1RQ45,UP000005640_9606,551,Protein
A0A0U1RQ46,UP000005640_9606,552,Protein
A0A0U1RQ84,UP000005640_9606,553,Protein
A0A140LHF2,UP000005640_9606,554,Protein
A0A140LHH9,UP000005640_9606,555,Protein
A0A140LHP3,UP000005640_9606,556,Protein
A0A140LHS7,UP000005640_9606,557,Protein
A0A140LHS9,UP000005640_9606,558,Protein
A0A140LHT4,UP000005640_9606,559,Protein
A0A140LHT7,UP000005640_9606,560,Protein
A0A140LHU2,UP000005640_9606,561,Protein
